sig1,gene,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,Correlation,P-value
,ENSG00000230424.1,0,0,0,0.344407415,0,0.965322728,0.810635124,0.711337661,0.069915633,0.909432256,-0.963406764,0.008356738
,ENSG00000130772.13,0,0,0,0.727036783,0,-0.253096865,-0.544037201,-0.26981254,-0.917981876,-0.37912726,-0.906423244,0.03387615
,ENSG00000121774.17,0,0,0,7.960802743,0,0.526034365,0.296710552,0.31264936,-0.054583096,0.462332919,-0.901359118,0.036634208
,ENSG00000186790.5,0,0,0,1.506207353,0,3.09565529,2.643384481,2.822974164,0.767231353,3.529346416,-0.949361863,0.013574501
,ENSG00000157077.14,0,2.848727428,0,22.56951205,0,-0.239515315,-0.187222366,-0.231653922,-0.384555886,-0.236912678,-0.915876985,0.0289167
,ENSG00000162377.5,0,0,0,0.688814831,0,0.588418323,0.753572516,0.558034418,0.286147936,0.656479999,-0.903066442,0.035696656
,ENSG00000116171.17,0,0,0,3.999187913,0,-2.33133941,-2.40854597,-2.337103494,-2.679028327,-2.325375939,-0.974651646,0.004826144
,ENSG00000162613.16,0,2.457302265,0,7.442300324,0,1.256478504,1.174177065,1.268607963,1.055370502,1.191754744,-0.938983764,0.017926137
,ENSG00000142875.19,0,0,0,0.598855457,0,-0.991978019,-0.854970989,-1.037244128,-1.517397294,-1.157861645,-0.902226984,0.036156662
,ENSG00000143079.14,0,0,0,1.094231241,0,-0.960941523,-0.831723562,-0.889140911,-1.422329425,-1.061321507,-0.930394077,0.021813031
,ENSG00000009307.15,0,1.072249654,0,27.59138016,0,-0.230517512,-0.11331443,-0.184451693,-0.581395315,-0.181237145,-0.965978472,0.007494382
,ENSG00000173218.14,0,0,0,3.863356807,0,-0.38405673,-0.374013033,-0.556814711,-0.803368386,-0.424107591,-0.914516825,0.029614629
,ENSG00000159164.9,0,0.60325942,0,3.006110252,0,0.484109583,0.419410898,0.39679114,0.214092044,0.390538878,-0.914384101,0.029683018
,ENSG00000132718.8,0,0,0,5.57442554,0,-1.298553202,-1.505727226,-1.357961268,-2.271120935,-1.341443687,-0.981536226,0.003003365
,ENSG00000116586.11,0,0,0,3.159715237,0,-0.232488448,-0.507109783,-0.322677156,-0.840533446,-0.272817507,-0.907268816,0.033422397
,ENSG00000027869.11,0,0.503694471,0,0,0,3.189694252,2.29078618,3.000990608,2.940812889,3.321152268,-0.924919333,0.024415947
,ENSG00000143222.11,0,0,0,1.030249341,0,-0.525295203,-0.398478678,-0.610168257,-1.015267294,-0.622179483,-0.922173153,0.025756807
,ENSG00000134371.11,0,0.3598876,0,16.87765364,0,0.304386827,0.201548892,0.17052947,-0.127289158,0.320247296,-0.937098784,0.018757795
,ENSG00000143845.14,0,3.43554569,0,5.819154362,0,2.211799305,2.138556081,2.342948278,1.856083973,2.316813977,-0.941246149,0.016944292
,ENSG00000136643.11,0,1.675531393,0,7.121431181,0,-0.380056602,-0.314943466,-0.312449548,-0.549187447,-0.346735095,-0.900285272,0.037227857
,ENSG00000117791.15,0,0.678923002,0,0,0,-0.107167224,-0.567251878,-0.190345985,-0.023997786,-0.110750629,-0.961324974,0.009077038
,ENSG00000154380.17,0,0.495448744,0,14.53433245,0,1.450647446,1.308280066,1.300320904,0.920296943,1.375047208,-0.959609497,0.009685096
,ENSG00000177614.10,0,0,0,7.721870918,0,6.034670089,5.886503132,5.873862168,5.582571844,5.994413515,-0.921381039,0.026147842
,ENSG00000135747.11,0,0.553742509,0,0,0,2.773148127,1.892980477,2.433596919,2.580148407,2.761068285,-0.921613259,0.026033008
,ENSG00000162714.12,0,0,0,2.897828191,0,0.348117894,0.363861905,0.390426365,0.223671176,0.390083433,-0.965543172,0.00763817
,ENSG00000119203.13,0,0,0,2.911532415,0,0.822565457,0.60357482,0.725583633,0.104553231,0.74926741,-0.961968227,0.00885239
,ENSG00000152518.7,0,0,0,2.304514744,0,-1.487334134,-1.657669965,-1.604253637,-2.280409937,-1.492346541,-0.975208359,0.004668422
